Ref,Title,FName,MName,LName,BDate,DDate,Male,Silent,CharTypeID,KnownAs,Comments,CDate,UDate,CName,UName
1,,Brian,,Aldridge,11/20/43 00:00:00,,1,0,,Brian,Brian and Jennifer Aldridge married 29.5.76,02/09/1999 00:00,04/11/2011 12:16,DataEase,fishec50
2,3,Alice,Margaret,Carter,09/29/88 00:00:00,,0,0,,Alice,Alice married Christopher 28/7/10,02/09/1999 00:00,11/30/10 17:16:00,DataEase,fishec50
3,,Deborah,,Aldridge,12/24/70 00:00:00,,0,0,,Debbie,Debbie and Simon Gerrard married   12.5.00 Decree absolute 12.5.03.,02/09/1999 00:00,10/20/04 12:02:30,DataEase,fishec50
5,1,David,Thomas,Archer,09/18/59 00:00:00,,1,0,,,"Ruth and David Archer married 15.12.88 David's school 			1964 - 1970 Village School
			1970 - 1977 boarding school",02/09/1999 00:00,09/08/2003 11:22,DataEase,fishec50
9,2,Jennifer,Elizabeth,Aldridge,01/07/1945 00:00,,0,0,,Jennifer or Jenny,Brian and Jennifer Aldridge married 29.5.76,02/09/1999 00:00,01/06/2006 15:32,DataEase,fishec50
10,,Katherine,Victoria,Madikane,09/30/77 00:00:00,,0,0,,Kate,Kate married Lucas 12/4/01,02/09/1999 00:00,01/31/03 16:34:55,DataEase,fishec50
13,2,Elizabeth,,Pargetter,04/21/67 00:00:00,,0,0,,"Lizzie, Nigel only.",Nigel and Elizabeth Pargetter married  29.9.94,02/09/1999 00:00,12/04/2001 11:14,DataEase,fishec50
14,2,Marjorie,,Antrobus,,08/12/2008 00:00,0,0,,Marjorie/Mrs.A.,Marjorie was born in January or early February 1922. Marjorie wears glasses.,02/09/1999 00:00,09/24/08 12:08:49,DataEase,fishec50
15,,John,Daniel,Archer,12/31/75 00:00:00,02/25/98 00:00:00,1,0,,John,,02/09/1999 00:00,01/30/06 16:05:25,DataEase,fishec50
16,,Helen,,Archer,04/16/79 00:00:00,,0,0,,Helen,,02/09/1999 00:00,08/22/06 16:39:44,DataEase,fishec50
17,1,Kenton,Edward,Archer,08/08/1958 00:00,,1,0,,Kenton,"2nd born twin child of Phil and Jill.  Kenton's school days: 	1963 - 1969 Village school 			1969 - 1974 Borchester Grammar - 1974 Merchant Navy",02/09/1999 00:00,10/01/2010 11:33,DataEase,fishec50
18,2,Jill,,Archer,10/03/1930 00:00,,0,0,,Jill,brought up in Stourhampton - Phil and Jill Archer  married  16.11.57. Jill was only 7 when her mother died - her father died first - so not the war!,02/09/1999 00:00,08/06/2012 11:32,DataEase,fishec50
19,1,Philip,Walter,Archer,04/23/28 00:00:00,02/12/2010 00:00,1,0,,Phil,Phil and Jill Archer married 16.11.57 Norman's last episode on air was 22/11/09,02/09/1999 00:00,01/27/10 16:57:48,DataEase,fishec50
20,2,Pat,,Archer,01/10/1952 00:00,,0,0,,Pat,Tony and Pat Archer married 12.12.74,02/09/1999 00:00,12/04/2001 11:05,DataEase,fishec50
21,,Ruth,Felicity,Archer,06/16/68 00:00:00,,0,0,,Ruth,Ruth and David Archer married 15.12.88,02/09/1999 00:00,03/18/04 14:31:43,DataEase,fishec50
